,departamento,fecha,ocio_y_recreacion,supermercados_y_farmcias,parques,transporte,lugares_de_trabajo,zonas_residenciales
58537,Capital Department,2020-02-15,10.0,2.0,8.0,8.0,1.0,1.0
58538,Capital Department,2020-02-16,10.0,2.0,14.0,4.0,-6.0,1.0
58539,Capital Department,2020-02-17,12.0,3.0,10.0,18.0,20.0,-1.0
58540,Capital Department,2020-02-18,12.0,4.0,9.0,19.0,19.0,-1.0
58541,Capital Department,2020-02-19,13.0,4.0,15.0,17.0,19.0,-1.0
58542,Capital Department,2020-02-20,11.0,2.0,9.0,17.0,19.0,-1.0
58543,Capital Department,2020-02-21,17.0,4.0,17.0,26.0,19.0,-2.0
58544,Capital Department,2020-02-22,25.0,20.0,14.0,17.0,3.0,0.0
58545,Capital Department,2020-02-23,18.0,12.0,12.0,4.0,-3.0,0.0
58546,Capital Department,2020-02-24,-35.0,-32.0,-6.0,-40.0,-60.0,6.0
58547,Capital Department,2020-02-25,-32.0,-25.0,-4.0,-33.0,-56.0,7.0
58548,Capital Department,2020-02-26,14.0,6.0,21.0,19.0,26.0,-2.0
58549,Capital Department,2020-02-27,7.0,1.0,17.0,17.0,26.0,-1.0
58550,Capital Department,2020-02-28,12.0,3.0,24.0,18.0,27.0,-2.0
58551,Capital Department,2020-02-29,16.0,14.0,10.0,8.0,5.0,2.0
58552,Capital Department,2020-03-01,2.0,7.0,2.0,-1.0,-5.0,3.0
58553,Capital Department,2020-03-02,12.0,8.0,15.0,21.0,33.0,-3.0
58554,Capital Department,2020-03-03,7.0,4.0,23.0,20.0,32.0,-2.0
58555,Capital Department,2020-03-04,6.0,1.0,27.0,19.0,32.0,-2.0
58556,Capital Department,2020-03-05,31.0,6.0,59.0,28.0,31.0,-3.0
58557,Capital Department,2020-03-06,21.0,5.0,25.0,29.0,30.0,-2.0
58558,Capital Department,2020-03-07,20.0,11.0,28.0,13.0,2.0,2.0
58559,Capital Department,2020-03-08,41.0,28.0,36.0,13.0,-4.0,2.0
58560,Capital Department,2020-03-09,25.0,14.0,27.0,27.0,31.0,-3.0
58561,Capital Department,2020-03-10,9.0,14.0,11.0,24.0,31.0,-2.0
58562,Capital Department,2020-03-11,8.0,5.0,8.0,23.0,31.0,-2.0
58563,Capital Department,2020-03-12,2.0,9.0,7.0,18.0,31.0,-1.0
58564,Capital Department,2020-03-13,2.0,12.0,8.0,18.0,30.0,-1.0
58565,Capital Department,2020-03-14,0.0,20.0,-7.0,4.0,2.0,4.0
58566,Capital Department,2020-03-15,-17.0,30.0,-11.0,-12.0,-8.0,6.0
58567,Capital Department,2020-03-16,-25.0,5.0,-27.0,-20.0,3.0,8.0
58568,Capital Department,2020-03-17,-40.0,-12.0,-47.0,-31.0,-10.0,12.0
58569,Capital Department,2020-03-18,-47.0,-20.0,-53.0,-40.0,-18.0,15.0
58570,Capital Department,2020-03-19,-54.0,-12.0,-57.0,-47.0,-26.0,15.0
58571,Capital Department,2020-03-20,-89.0,-58.0,-86.0,-76.0,-63.0,33.0
58572,Capital Department,2020-03-21,-92.0,-61.0,-90.0,-82.0,-61.0,32.0
58573,Capital Department,2020-03-22,-91.0,-66.0,-92.0,-84.0,-62.0,
58574,Capital Department,2020-03-23,-95.0,-76.0,-94.0,-90.0,-83.0,33.0
58575,Capital Department,2020-03-24,-95.0,-76.0,-94.0,-90.0,-83.0,35.0
58576,Capital Department,2020-03-25,-93.0,-67.0,-91.0,-84.0,-71.0,33.0
58577,Capital Department,2020-03-26,-92.0,-64.0,-89.0,-83.0,-71.0,34.0
58578,Capital Department,2020-03-27,-90.0,-61.0,-86.0,-80.0,-70.0,36.0
58579,Capital Department,2020-03-28,-91.0,-61.0,-87.0,-81.0,-63.0,32.0
58580,Capital Department,2020-03-29,-89.0,-59.0,-90.0,-83.0,-59.0,30.0
58581,Capital Department,2020-03-30,-91.0,-62.0,-87.0,-82.0,-70.0,29.0
58582,Capital Department,2020-03-31,-93.0,-70.0,-90.0,-87.0,-82.0,34.0
58583,Capital Department,2020-04-01,-89.0,-57.0,-86.0,-80.0,-68.0,32.0
58584,Capital Department,2020-04-02,-89.0,-58.0,-87.0,-79.0,-68.0,32.0
58585,Capital Department,2020-04-03,-88.0,-56.0,-84.0,-76.0,-66.0,35.0
58586,Capital Department,2020-04-04,-89.0,-56.0,-86.0,-77.0,-58.0,31.0
58587,Capital Department,2020-04-05,-88.0,-54.0,-89.0,-80.0,-57.0,29.0
58588,Capital Department,2020-04-06,-88.0,-56.0,-81.0,-75.0,-64.0,28.0
58589,Capital Department,2020-04-07,-92.0,-50.0,-76.0,-74.0,-65.0,29.0
58590,Capital Department,2020-04-08,-91.0,-48.0,-75.0,-72.0,-64.0,29.0
58591,Capital Department,2020-04-09,-92.0,-49.0,-81.0,-77.0,-71.0,32.0
58592,Capital Department,2020-04-10,-96.0,-74.0,-91.0,-88.0,-83.0,40.0
58593,Capital Department,2020-04-11,-92.0,-50.0,-85.0,-75.0,-56.0,31.0
58594,Capital Department,2020-04-12,-91.0,-55.0,-89.0,-80.0,-55.0,28.0
58595,Capital Department,2020-04-13,-90.0,-51.0,-69.0,-71.0,-59.0,27.0
58596,Capital Department,2020-04-14,-90.0,-48.0,-71.0,-69.0,-60.0,28.0
58597,Capital Department,2020-04-15,-90.0,-49.0,-74.0,-70.0,-58.0,29.0
58598,Capital Department,2020-04-16,-91.0,-47.0,-99.0,-67.0,-60.0,30.0
58599,Capital Department,2020-04-17,-91.0,-47.0,-98.0,-67.0,-57.0,33.0
58600,Capital Department,2020-04-18,-92.0,-50.0,-99.0,-71.0,-52.0,30.0
58601,Capital Department,2020-04-19,-91.0,-52.0,-99.0,-78.0,-53.0,28.0
58602,Capital Department,2020-04-20,-90.0,-49.0,-99.0,-67.0,-56.0,26.0
58603,Capital Department,2020-04-21,-90.0,-48.0,-98.0,-68.0,-56.0,28.0
58604,Capital Department,2020-04-22,-90.0,-46.0,-99.0,-66.0,-56.0,28.0
58605,Capital Department,2020-04-23,-90.0,-48.0,-99.0,-66.0,-56.0,29.0
58606,Capital Department,2020-04-24,-90.0,-46.0,-99.0,-65.0,-54.0,31.0
